"","domain","phylum","class","order","family","genus","species","Confidence"
"MJ032-2-barcode69-umi49925bins-ubs-11","Bacteria"," Bdellovibrionota_E"," Oligoflexia"," Oligoflexales"," "," "," "," 1"
"MF543060","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Tabrizicola_493812"," Tabrizicola fusiformis"," 1"
"MJ030-2-barcode58-umi82120bins-ubs-6","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," Rubrivivax"," "," 1"
"G002280885","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504721"," Hyphomicrobiaceae"," Hyphomicrobium_A"," Hyphomicrobium_A sp002279935"," 1"
"LN832063","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_501059"," Rhizobiaceae_A_501059"," Mycoplana_499574"," Mycoplana azooxidifex"," 1"
"MJ031-2-barcode58-umi467bins-ubs-506","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"KU055631","Bacteria"," Actinobacteriota"," Actinomycetia"," Sporichthyales"," Sporichthyaceae"," Longivirga"," Longivirga aurantiaca"," 1"
"MJ034-1-barcode33-umi13084bins-ubs-25","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Saprospiraceae"," OLB9"," OLB9 sp001567255"," 1"
"MJ030-2-barcode58-umi75999bins-ubs-7","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"JX500274","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504705"," Xanthobacteraceae_503485"," Pseudorhodoplanes"," Pseudorhodoplanes sinuspersici"," 1"
"MJ010-2-barcode71-umi52551bins-ubs-11","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_597441"," Methylophilaceae"," Methylotenera_A_557105"," Methylotenera_A_557105 versatilis_B"," 1"
"GB-GCA-016713335.1-JADJPH010000037.1","Bacteria"," Chloroflexota"," Anaerolineae"," Caldilineales"," Caldilineaceae"," "," "," 1"
"MJ034-1-barcode33-umi11315bins-ubs-32","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592522"," Burkholderiaceae_A_592522"," "," "," 1"
"MJ032-2-barcode69-umi3947bins-ubs-84","Bacteria"," Acidobacteriota"," Blastocatellia"," Pyrinomonadales"," Blastocatellaceae_430966"," "," "," 1"
"MJ009-1-barcode39-umi51009bins-ubs-7","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Flavimaricola"," Flavimaricola marinus"," 1"
"MJ031-1-barcode27-umi33340bins-ubs-9","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504723"," Aestuariivirgaceae"," Aestuariivirga"," Aestuariivirga litoralis"," 1"
"MJ032-1-barcode26-umi31215bins-ubs-12","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae_966727"," Ferruginibacter"," "," 1"
"MJ032-1-barcode26-umi60254bins-ubs-4","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," Luteolibacter_776538"," "," 1"
"MJ030-2-barcode59-umi27748bins-ubs-22","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_597441"," Methylophilaceae"," Methylotenera_A_557637"," "," 1"
"MJ034-1-barcode26-umi27120bins-ubs-4","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Chthoniobacterales"," Terrimicrobiaceae"," Terrimicrobium"," Terrimicrobium sacchariphilum"," 1"
"MJ030-1-barcode25-umi10318bins-ubs-40","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Leptolyngbyales"," Leptolyngbyaceae"," "," "," 1"
"MJ030-2-barcode58-umi24937bins-ubs-26","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"KJ095109","Bacteria"," Actinobacteriota"," Actinomycetia"," Actinomycetales"," Microbacteriaceae"," Conyzicola_381229"," Conyzicola nivalis"," 1"
"MJ030-2-barcode58-umi57852bins-ubs-10","Bacteria"," Cyanobacteria"," Cyanobacteriia"," Cyanobacteriales"," Coleofasciculaceae_23353"," SIO2C1"," SIO2C1 sp010672925"," 1"
"MJ031-2-barcode67-umi30463bins-ubs-16","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Pedosphaerales"," UBA11358"," WYBW01"," WYBW01 sp011525685"," 1"
"RS-GCF-014647815.1-NZ-BMPX01000104.1","Bacteria"," Actinobacteriota"," Actinomycetia"," Mycobacteriales"," Micromonosporaceae"," Actinoplanes"," Actinoplanes lobatus"," 1"
"MJ031-1-barcode27-umi13837bins-ubs-35","Bacteria"," Verrucomicrobiota"," Verrucomicrobiae"," Verrucomicrobiales"," Akkermansiaceae"," Luteolibacter_776538"," "," 1"
"AJ879783","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_592524"," Burkholderiaceae_A_580492"," Polynucleobacter"," Polynucleobacter asymbioticus_575095"," 1"
"RS-GCF-016772315.1-NZ-CP053482.1--2","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Thiotrichales_608018"," Thiotrichaceae_608018"," Thiothrix_606507"," Thiothrix fructosivorans"," 1"
"MJ020-2-barcode52-umi9692bins-ubs-61","Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales_597441"," Methylophilaceae"," Methylotenera_A_557105"," Methylotenera_A_557105 versatilis_B"," 1"
"KC690144","Bacteria"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae_966727"," Ferruginibacter"," Ferruginibacter yonginensis"," 1"
"MJ030-2-barcode59-umi107473bins-ubs-3","Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales_A_504705"," Beijerinckiaceae"," Rhabdaerophilum"," "," 1"
"G002198675","Bacteria"," Actinobacteriota"," Actinomycetia"," Actinomycetales"," Kineosporiaceae"," R-H-3"," R-H-3 sp002198675"," 1"
